farm_id,farm_name,location,owner_name,"area_size"
1,Bradley-Burton,"81657 Grace Park Apt. 415 East Kevin, VT 15857",Martin Smith,52.89
2,"Shields, Estrada and Davis","PSC 1904, Box 1481 APO AP 63590",Travis Deleon,40.91
3,Richardson-Wilson,USCGC Baker FPO AP 96498,Thomas Oconnell,63.57
4,"Perry, Yates and Fitzgerald","5602 Lisa Path New Jeffrey, VI 42730",Jennifer Patel,86.36
5,"Allen, Miller and Washington","277 Tracy Land South Ryanberg, TN 80949",Traci Reyes,38.5
6,Bradley Inc,"3352 Pitts Creek Suite 050 New Eric, LA 43083",Cody Wolf,58.4
7,Simpson-Reynolds,"40712 Jonathan Knoll North Williamland, MD 06316",Justin Cochran,55.61
8,Morton-Green,"6960 Carolyn Spur Apt. 243 Lorihaven, PW 05335",Renee Parsons,48.57
9,Hart-Fry,"1158 Zuniga Oval Apt. 470 Port Natalie, WV 83402",Ricardo Thompson,78.77
10,"Flores, Hamilton and Perez","4410 Warren Plaza Wendychester, MT 62158",Eric Macias,3.11
11,Sanders LLC,"3954 Chad Row Suite 439 Clementsville, ME 72799",Kaitlin Johnson,75.21
12,Parrish-Michael,"6368 Gordon Track North Gerald, FL 69665",April Rice,5.47
13,Obrien Inc,"5033 Moore Plain Nathanside, PR 12495",John Keller,78.53
14,Hale-Odonnell,"11365 Robert Burg Suite 386 Port Alexanderport, NC 30491",John Gutierrez,97.42
15,Riley-Hess,"4634 Anderson Spur Hollybury, MS 94536",Tara Phillips,49.52
16,Mathis-Jones,"0615 Phillips Stream Suite 377 Lake Robertmouth, WA 68634",Michael Jones,17.48
17,Beasley-Snyder,"841 Osborne Fields New Lucas, OH 91110",Caitlin Jackson,75.75
18,"Robinson, Morrison and Diaz","35761 Myers Street West Isaachaven, MI 31820",William Duran,67.78
19,"Boyd, Henry and Gibson","8939 Stone Trail North Michaelberg, WV 77143",Melissa Long,95.51
20,White LLC,"9746 Tyler Alley Apt. 340 Port Helenshire, TX 22247",Michael Rose,69.25
21,Decker-Guerra,"8392 Bailey Points New Brent, NV 40219",Rachel Williams,61.37
22,Snyder PLC,"PSC 9301, Box 0069 APO AA 42826",John Gutierrez,37.7
23,Brooks-Pace,"9364 Brittany Summit Apt. 632 Lake Christopherhaven, KY 65007",Samantha Smith,31.59
24,Wise-Taylor,"9210 Walsh Harbor Suite 073 Jessicafort, AZ 76036",Christopher Schneider,4.17
25,White Group,"13509 Cook Mountains Mooreland, IA 92297",Christopher Morris,77.14
26,Douglas and Sons,"795 Brennan Prairie Suite 580 Gravesland, PR 83336",Brandon Larson,37.35
27,Wilson Inc,"751 Mary Creek South Harrymouth, CO 76348",Derrick Jackson,1.58
28,"Nelson, Hall and Livingston","85244 Heather Manors New Joseph, MD 29204",Daniel Jacobs DDS,38.39
29,Trevino-Sandoval,"13873 Gutierrez Course Suite 547 North Brooke, WY 15594",John Griffin,17.61
30,Miller-Bates,"707 Miller Terrace Apt. 213 Deniseton, UT 39988",William York,70.44
31,"Roberts, Mclean and Powell","60047 John Highway Apt. 725 Carriechester, MD 94007",Christopher Wiggins,94.85
32,Miller-Campbell,"01013 Kimberly Haven Lake Javier, NH 94630",Brian Turner,1.91
33,Dodson-Strickland,"7302 Michael Hill Chelseaburgh, TX 75858",Christopher Harris,64.12
34,Bishop-Page,"18145 Brittany Summit Apt. 317 New Jennifer, ND 01750",Lisa Alvarez,73.25
35,Frazier-Nguyen,"94499 John Coves Suite 739 New Chad, UT 64117",Eric White,52.56
36,Watson Inc,"158 Diana Lock Suite 952 North Michelle, OH 65904",Monica Jones,6.36
37,"Hopkins, Brown and Taylor","28020 Susan Drive Apt. 332 New Sharonberg, MS 88676",Stephanie Hoffman,72.62
38,"Ellis, Franklin and Conrad","13911 Adams Crossing Apt. 873 Caldwellshire, OR 77318",Jasmine Clarke,29.4
39,Harrison-Hart,"613 Paige Pine Apt. 562 West Andrealand, CO 14737",Jerry Snyder,87.23
40,Short-Lee,"82712 Emma Valley South Kristinfort, FL 75096",David Valdez,32.21
41,Krueger-Perez,"33119 Edwards Parks Lake Nicole, AK 26090",Sara Johnson,71.48
42,Marks-Brown,"PSC 0035, Box 5584 APO AE 98423",Jessica Black,14.73
43,Livingston-Rosales,"60872 Katherine Loaf Lake Tammy, PA 78675",Alicia Mata,57.91
